,precision,recall,f1-score,support
<=50%,1.0,0.2222222222222222,0.36363636363636365,198.0
>50%,0.7471264367816092,1.0,0.8552631578947368,455.0
accuracy,0.7641653905053599,0.7641653905053599,0.7641653905053599,0.7641653905053599
macro avg,0.8735632183908046,0.6111111111111112,0.6094497607655502,653.0
weighted avg,0.8238017285384871,0.7641653905053599,0.7061940839848473,653.0
